Common label,Object count
Olfactory tubercle,0
Olivary pretectal nucleus,0
Orbital area,0
Pallidum,0
Parabigeminal nucleus,0
Parabrachial nucleus,0
Paracentral nucleus,0
Parafascicular nucleus,0
Paraflocculus,0
Paragigantocellular reticular nucleus,0
Paramedian lobule,0
Paramedian reticular nucleus,0
Paranigral nucleus,0
Parapyramidal nucleus,0
Parasolitary nucleus,0
Parastrial nucleus,0
Parasubiculum,0
Parasubthalamic nucleus,0
Parataenial nucleus,0
Paratrigeminal nucleus,0
Paratrochlear nucleus,0
Paraventricular hypothalamic nucleus,0
Paraventricular nucleus of the thalamus,0
Parvicellular motor 5 nucleus,0
Parvicellular reticular nucleus,0
Pedunculopontine nucleus,0
Periaqueductal gray,0
Perifornical nucleus,0
Perihypoglossal nuclei,0
Peripeduncular nucleus,0
Perireunensis nucleus,0
Perirhinal area,0
Peritrigeminal zone,0
Periventricular hypothalamic nucleus,0
Periventricular region,0
Periventricular zone,0
Pineal body,0
Piriform area,0
Piriform-amygdalar area,0
Pons,0
Pontine central gray,0
Pontine gray,0
Pontine reticular nucleus,0
Posterior amygdalar nucleus,0
Posterior auditory area,0
Posterior complex of the thalamus,0
Posterior hypothalamic nucleus,0
Posterior intralaminar thalamic nucleus,0
Posterior limiting nucleus of the thalamus,0
Posterior parietal association areas,0
Posterior pretectal nucleus,0
Posterior triangular thalamic nucleus,0
Posterodorsal preoptic nucleus,0
Posterodorsal tegmental nucleus,0
Posterolateral visual area,0
Postpiriform transition area,0
Postrhinal area,0
Postsubiculum,0
Precommissural nucleus,0
Prelimbic area,0
Preparasubthalamic nucleus,0
Presubiculum,0
Pretectal region,0
Primary auditory area,0
Primary motor area,0
Primary somatosensory area,0
Primary visual area,0
Principal sensory nucleus of the trigeminal,0
Prosubiculum,0
Pyramus (VIII),0
Red nucleus,0
Reticular nucleus of the thalamus,0
Retrochiasmatic area,0
Retroethmoid nucleus,0
Retrohippocampal region,0
Retroparafascicular nucleus,0
Retrosplenial area,0
Rhomboid nucleus,0
Rostral linear nucleus raphe,0
Rostrolateral area,0
Rostrolateral lateral visual area,0
Rostrolateral visual area,0
Secondary motor area,0
Septofimbrial nucleus,0
Septohippocampal nucleus,0
Simple lobule,0
Somatomotor areas,0
Somatosensory areas,0
Spinal nucleus of the trigeminal,0
Spinal vestibular nucleus,0
Striatum,0
Striatum dorsal region,0
Striatum ventral region,0
Striatum-like amygdalar nuclei,0
Subceruleus nucleus,0
Subcommissural organ,0
Subfornical organ,0
Subgeniculate nucleus,0
Subiculum,0
Sublaterodorsal nucleus,0
Submedial nucleus of the thalamus,0
Subparafascicular area,0
Subparafascicular nucleus,0
Subparaventricular zone,0
Substantia innominata,0
Substantia nigra,0
Subthalamic nucleus,0
Superior central nucleus raphe,0
Superior colliculus,0
Superior olivary complex,0
Superior salivatory nucleus,0
Superior vestibular nucleus,0
Supplemental somatosensory area,0
Suprachiasmatic nucleus,0
Suprachiasmatic preoptic nucleus,0
Suprageniculate nucleus,0
Supragenual nucleus,0
Supramammillary nucleus,0
Supraoculomotor periaqueductal gray,0
Supraoptic nucleus,0
Supratrigeminal nucleus,0
Taenia tecta,0
Tegmental reticular nucleus,0
Temporal association areas,0
Thalamus,0
Triangular nucleus of septum,0
Trochlear nucleus,0
Tuberal nucleus,0
Tuberomammillary nucleus,0
Uvula (IX),0
Vascular organ of the lamina terminalis,0
Ventral anterior-lateral complex of the thalamus,0
Ventral auditory area,0
Ventral cochlear nucleus,0
Ventral group of the dorsal thalamus,0
Ventral medial nucleus of the thalamus,0
Ventral part of the lateral geniculate complex,0
Ventral posterior complex of the thalamus,0
Ventral posterolateral nucleus of the thalamus,0
Ventral posteromedial nucleus of the thalamus,0
Ventral premammillary nucleus,0
Ventral tegmental area,0
Ventral tegmental nucleus,0
Ventrolateral preoptic nucleus,0
Ventromedial hypothalamic nucleus,0
Ventromedial preoptic nucleus,0
Vermal regions,0
Vestibular nuclei,0
Vestibulocerebellar nucleus,0
Visceral area,0
Visual areas,0
Xiphoid thalamic nucleus,0
Zona incerta,0
abducens nerve,0
accessory olfactory tract,0
accessory optic tract,0
accessory spinal nerve,0
alveus,0
amygdalar capsule,0
angular path,0
ansa peduncularis,0
ansoparamedian fissure,0
anterior commissure,0
arbor vitae,0
auditory radiation,0
brachium of the inferior colliculus,0
brachium of the superior colliculus,0
bulbocerebellar tract,0
central canal,0
central tegmental bundle,0
cerebal peduncle,0
cerebellar commissure,0
cerebellar peduncles,0
cerebellum related fiber tracts,0
cerebral aqueduct,0
cerebral nuclei related,0
cerebrum related,0
cervicothalamic tract,0
choroid fissure,0
choroid plexus,0
cingulum bundle,0
cochlear nerve,0
columns of the fornix,0
commissural branch of stria terminalis,0
corpus callosum,0
corticobulbar tract,0
corticopontine tract,0
corticorubral tract,0
corticospinal tract,0
corticotectal tract,0
cranial nerves,0
crossed tectospinal pathway,0
cuneate fascicle,0
cuneocerebellar tract,0
direct tectospinal pathway,0
doral tegmental decussation,0
dorsal acoustic stria,0
dorsal column,0
dorsal commissure of the spinal cord,0
dorsal fornix,0
dorsal hippocampal commissure,0
dorsal limb,0
dorsal longitudinal fascicle,0
dorsal roots,0
dorsal spinocerebellar tract,0
dorsal tegmental tract,0
dorsal thalamus related,0
dorsolateral fascicle,0
efferent cochleovestibular bundle,0
endorhinal groove,0
epithalamus related,0
external capsule,0
external medullary lamina of the thalamus,0
extrapyramidal fiber systems,0
facial nerve,0
fasciculus proprius,0
fasciculus retroflexus,0
fiber tracts,0
fimbria,0
fornix system,0
fourth ventricle,0
genu of corpus callosum,0
genu of the facial nerve,0
glossopharyngeal nerve,0
gracile fascicle,0
grooves,0
grooves of the cerebellar cortex,0
grooves of the cerebral cortex,0
habenular commissure,0
hippocampal commissures,0
hippocampal fissure,0
hypoglossal nerve,0
hypothalamohypophysial tract,0
hypothalamus related,0
inferior cerebellar peduncle,0
inferior colliculus commissure,0
intercrural fissure,0
intermediate acoustic stria,0
intermediate nerve,0
internal arcuate fibers,0
internal capsule,0
internal medullary lamina of the thalamus,0
interventricular foramen,0
intraparafloccular fissure,0
juxtarestiform body,0
lateral forebrain bundle system,0
lateral lemniscus,0
lateral olfactory tract,0
lateral recess,0
lateral spinothalamic tract,0
lateral ventricle,0
longitudinal association bundle,0
mammillary peduncle,0
mammillary related,0
mammillotegmental tract,0
mammillothalamic tract,0
medial corticohypothalamic tract,0
medial forebrain bundle,0
medial forebrain bundle system,0
medial lemniscus,0
medial longitudinal fascicle,0
midbrain related,0
midbrain tract of the trigeminal nerve,0
middle cerebellar peduncle,0
middle thalamic commissure,0
motor root of the trigeminal nerve,0
nigrostriatal tract,0
nigrothalamic fibers,0
nodular fissure,0
oculomotor nerve,0
olfactory nerve,0
olfactory nerve layer of main olfactory bulb,0
olivocerebellar tract,0
optic chiasm,0
optic nerve,0
optic radiation,0
optic tract,0
pallidotegmental fascicle,0
pallidothalamic pathway,0
parafloccular sulcus,0
paramedian sulcus,0
perforant path,0
periventricular bundle of the hypothalamus,0
periventricular bundle of the thalamus,0
pineal stalk,0
postcommissural fornix,0
posterior commissure,0
posterior superior fissure,0
posterolateral fissure,0
posteromedial visual area,0
precentral fissure,0
precommissural fornix,0
precommissural fornix diagonal band,0
preculminate fissure,0
premammillary commissure,0
preoptic commissure,0
prepyramidal fissure,0
primary fissure,0
principal mammillary tract,0
propriohypothalamic pathways,0
pyramid,0
pyramidal decussation,0
reticulocerebellar tract,0
retina,0
retriculospinal tract,0
rhinal fissure,0
rhinal incisure,0
rhinocele,0
root,0
rubroreticular tract,0
rubrospinal tract,0
secondary fissure,0
sensory root of the trigeminal nerve,0
simple fissure,0
solitary tract,0
spinal tract of the trigeminal nerve,0
spino-olivary pathway,0
spinocerebellar tract,0
spinocervical tract,0
spinohypothalamic pathway,0
spinoreticular pathway,0
spinotectal pathway,0
spinotelenchephalic pathway,0
spinothalamic tract,0
spinovestibular pathway,0
stria medullaris,0
stria terminalis,0
striatonigral pathway,0
subependymal zone,0
subthalamic fascicle,0
superior cerebelar peduncles,0
superior cerebellar peduncle decussation,0
superior colliculus commissure,0
supra-callosal cerebral white matter,0
supramammillary decussation,0
supraoptic commissures,0
tectospinal pathway,0
tectothalamic pathway,0
terminal nerve,0
thalamic peduncles,0
thalamus related,0
third ventricle,0
trapezoid body,0
trigeminal nerve,0
trigeminocerebellar tract,0
trochlear nerve,0
trochlear nerve decussation,0
uncinate fascicle,0
vagus nerve,0
ventral commissure of the spinal cord,0
ventral hippocampal commissure,0
ventral roots,0
ventral spinocerebellar tract,0
ventral spinothalamic tract,0
ventral tegmental decussation,0
ventricular systems,0
ventrolateral hypothalamic tract,0
vestibular nerve,0
vestibulocochlear nerve,0
vestibulospinal pathway,0
vomeronasal nerve,0
